epoch,accuracy,loss,val_accuracy,val_loss
0,0.7638888955116272,3.584609031677246,0.9027777910232544,3.159560203552246
1,0.9348958134651184,2.9859507083892822,0.9479166865348816,2.8019344806671143
2,0.96875,2.6394479274749756,0.96875,2.449479103088379
3,0.9835069179534912,2.3385472297668457,0.9895833134651184,2.174454689025879
4,0.9887152910232544,2.076451063156128,0.9895833134651184,1.9293951988220215
5,0.9913194179534912,1.8462079763412476,1.0,1.7012779712677002
6,0.9956597089767456,1.6304324865341187,1.0,1.5032962560653687
7,0.9947916865348816,1.4478884935379028,0.9965277910232544,1.327998399734497
8,0.9956597089767456,1.2754731178283691,0.9965277910232544,1.1769280433654785
9,0.9991319179534912,1.1244902610778809,0.9965277910232544,1.0455570220947266
10,0.9982638955116272,0.9977895021438599,0.9965277910232544,0.9230327606201172
11,0.9947916865348816,0.9027283191680908,0.9826388955116272,0.8852422833442688
12,0.9913194179534912,0.8261581659317017,0.9965277910232544,0.7664715051651001
13,0.9956597089767456,0.7285605669021606,0.9965277910232544,0.6923511028289795
14,0.9965277910232544,0.6534020900726318,0.9895833134651184,0.6318313479423523
15,0.9965277910232544,0.5937654972076416,0.9895833134651184,0.6024808883666992
16,0.9973958134651184,0.5465275645256042,0.9965277910232544,0.5259915590286255
17,0.9965277910232544,0.49276769161224365,0.9895833134651184,0.5355355143547058
18,0.9956597089767456,0.47124195098876953,0.9861111044883728,0.46875128149986267
19,0.9947916865348816,0.41844168305397034,0.9895833134651184,0.45444875955581665
20,0.9956597089767456,0.3857458829879761,0.9861111044883728,0.4693882167339325
21,0.9930555820465088,0.38254639506340027,0.9861111044883728,0.39895087480545044
22,0.9965277910232544,0.33609727025032043,0.96875,0.46687063574790955
23,0.9930555820465088,0.3253732919692993,0.9895833134651184,0.3483031988143921
24,0.9930555820465088,0.30269184708595276,0.9965277910232544,0.2961828112602234
25,0.9982638955116272,0.27720946073532104,0.9930555820465088,0.2755303382873535
26,0.9973958134651184,0.26420462131500244,0.9965277910232544,0.2640482783317566
27,0.9939236044883728,0.25090157985687256,0.9930555820465088,0.2602085769176483
28,0.9973958134651184,0.2320573329925537,0.9930555820465088,0.2564699649810791
29,0.9982638955116272,0.214680016040802,0.9930555820465088,0.24660760164260864
30,0.9956597089767456,0.21070539951324463,0.9930555820465088,0.22089482843875885
31,0.9965277910232544,0.19111955165863037,0.9965277910232544,0.20077532529830933
32,0.9991319179534912,0.1778760403394699,0.9965277910232544,0.188176691532135
33,1.0,0.16566026210784912,0.9965277910232544,0.17735624313354492
34,0.9973958134651184,0.1619417518377304,0.9965277910232544,0.16933727264404297
35,0.9991319179534912,0.1489136815071106,0.9965277910232544,0.15418927371501923
